                         mean          sd         5.5%         94.5%      rhat
z_host[282]     -6.467491e-01 0.974136445 -2.213220751  0.9321426677 1.0027050
z_host[283]     -1.305546e-01 0.837697919 -1.457400786  1.2205874565 1.0032047
z_host[284]     -5.838222e-01 0.785293635 -1.821159440  0.6909678320 1.0020668
z_host[285]      3.466581e-01 0.893311296 -1.086651064  1.7599962150 1.0013599
z_host[286]      2.345460e-01 0.951723362 -1.278988251  1.7875376505 1.0009062
z_host[287]     -4.191461e-01 0.481996451 -1.180922176  0.3316511454 1.0005915
z_host[288]      2.524276e-01 0.945927831 -1.262712817  1.7717647600 1.0019952
z_host[289]      5.423621e-02 0.997446679 -1.563464554  1.6451815710 1.0011007
z_host[290]     -5.952967e-02 0.963241736 -1.600346835  1.4848315775 1.0010010
z_host[291]      2.887441e-01 0.884040928 -1.117030943  1.7140634880 0.9997054
z_host[292]      1.454472e-01 0.951641732 -1.409813862  1.6427312830 1.0016891
z_host[293]      4.614996e-01 0.656696798 -0.587726341  1.4811095275 1.0008338
z_host[294]     -5.694579e-02 0.539277867 -0.924413007  0.7819258803 1.0007001
z_host[295]      6.246395e-01 0.608073717 -0.348548507  1.5784324005 1.0009906
z_host[296]      1.064913e-01 0.979070369 -1.446513700  1.6985461865 1.0009165
z_host[297]      1.739488e-01 0.899725101 -1.254890156  1.6007135765 1.0014444
z_host[298]     -1.736196e-01 0.828467843 -1.503635334  1.1638054550 1.0029536
z_host[299]     -1.692351e-01 0.947619798 -1.641471472  1.3363390405 1.0002113
z_host[300]      5.850874e-01 0.784810160 -0.675394611  1.8388376475 1.0022829
z_host[301]      8.590867e-01 0.517439006  0.036707706  1.6771961260 0.9997560
z_host[302]     -1.565335e-02 0.973306840 -1.595245212  1.5318662105 1.0004235
z_host[303]     -2.992043e-01 0.620975550 -1.284660812  0.6912235314 1.0016300
z_host[304]      1.270583e-01 0.963606956 -1.410478149  1.6629853615 1.0015298
z_host[305]     -4.173018e-01 0.898545808 -1.851123065  1.0609045320 1.0013118
z_host[306]      6.801154e-01 0.721145580 -0.459588351  1.8291093205 1.0014154
z_host[307]      7.818061e-01 0.666744629 -0.276751313  1.8624604620 1.0018273
z_host[308]      6.153428e-01 0.571610203 -0.307515645  1.5250586105 1.0012270
z_host[309]     -2.652030e-01 0.672575909 -1.340177703  0.7994155452 1.0005956
z_host[310]      4.386416e-01 0.803751591 -0.846431731  1.7162379500 1.0001707
z_host[311]      3.291206e-01 0.658016451 -0.723352600  1.3719792360 1.0012227
z_host[312]      3.461867e-01 0.846623603 -0.997282439  1.7011159570 1.0021202
z_host[313]      7.032495e-01 0.635162175 -0.297172813  1.7386207850 0.9998284
z_host[314]      6.279269e-01 0.694945363 -0.490784513  1.7655594905 1.0007328
