                mean         sd      5.5%      94.5%      rhat  ess_bulk
a[300]     5.6788979 0.32680207 5.1550521  6.2026937 1.0026517 6888.4265
a[301]     5.6062095 0.25343328 5.2005393  6.0155435 1.0012252 5325.6914
a[302]     5.5735887 0.32337307 5.0562315  6.0947347 1.0016245 7323.5284
a[303]     4.8986171 0.32798145 4.3728820  5.4222669 1.0000511 6460.1497
a[304]     4.9710938 0.32386719 4.4477088  5.4873667 1.0001045 6586.7415
a[305]     4.8669898 0.32430316 4.3568113  5.3868299 1.0002198 6680.7831
a[306]     5.9246335 0.33351052 5.4023220  6.4640726 1.0010753 8466.7419
a[307]     4.9923114 0.32405398 4.4786656  5.5122689 1.0018508 6492.9560
a[308]     4.5050712 0.32473608 3.9953826  5.0308269 1.0004116 8023.3087
a[309]     5.5305068 0.33563884 5.0006256  6.0659925 1.0006076 6679.9884
a[310]     4.3205611 0.33086455 3.7918178  4.8377017 0.9999798 4723.8782
a[311]     6.0126363 0.25226480 5.6134874  6.4138095 1.0006998 7702.7973
a[312]     4.6436974 0.32457310 4.1309795  5.1589455 1.0021170 7723.7895
a[313]     6.5413635 0.33310239 6.0184912  7.0778100 1.0002248 5888.1730
a[314]     5.6667035 0.32662810 5.1469232  6.2000118 1.0009876 6557.1303
a[315]     5.2115989 0.33686947 4.6772547  5.7555534 1.0005455 8007.8405
a[316]     4.3160305 0.33160170 3.7938999  4.8322531 1.0008368 5752.4123
a[317]     5.5518988 0.32850215 5.0250454  6.0687347 1.0017400 7206.7935
a[318]     5.1476659 0.32211010 4.6380308  5.6632030 1.0020874 6305.6978
a[319]     4.8708154 0.33290894 4.3460207  5.4075976 1.0012799 7928.5810
a[320]     5.2748516 0.32144105 4.7542856  5.7968348 1.0043992 7011.8891
a[321]     6.5506121 0.33282016 6.0265636  7.0872099 1.0005291 5495.5728
a[322]     4.4312678 0.32193268 3.9213678  4.9455017 1.0001328 6974.3544
a[323]     5.0899216 0.31714351 4.5799244  5.5866752 1.0022414 7125.3124
a[324]     5.0674206 0.33180874 4.5374549  5.5956529 1.0016282 5947.7153
a[325]     5.2415968 0.32522744 4.7125692  5.7565587 1.0005361 6805.1608
a[326]     4.5900512 0.32909716 4.0646816  5.1186069 1.0015239 7732.8978
a[327]     4.0944002 0.32498535 3.5749530  4.6024788 1.0038878 6133.1019
a[328]     4.8669759 0.32754922 4.3408359  5.3849080 0.9996702 6731.2531
a[329]     5.2987556 0.33480057 4.7785377  5.8184170 1.0011859 6957.5877
a[330]     4.3859328 0.32565490 3.8623885  4.9094205 1.0023421 7087.9661
a[331]     5.1419432 0.33581124 4.6054988  5.6725629 1.0013441 6793.6393
a[332]     5.1117586 0.33883759 4.5755064  5.6500227 1.0011033 7345.0697
a[333]     4.1393493 0.32339468 3.6248524  4.6621050 1.0005508 7543.5959
a[334]     5.9934371 0.32381728 5.4723682  6.4995641 1.0050963 6285.4060
a[335]     5.4424705 0.32487969 4.9285478  5.9650327 1.0010897 7781.5247
a[336]     5.0125723 0.32434459 4.4986942  5.5279028 1.0003289 7383.9277
a[337]     4.0471816 0.33048245 3.5225268  4.5653468 1.0023856 7260.4558
a[338]     5.0832892 0.33904501 4.5442085  5.6186177 1.0013340 8112.1763
